Company Names,Cars Names,Engines,CC/Battery Capacity,HorsePower,Total Speed,Performance(0 - 100 )KM/H,Cars Prices,Fuel Types,Seats,Torque
ROLLS ROYCE ,GHOST,V12,"6,592 cc",591 hp,250 km/h,4.8 sec,"$332,000 ",Petrol,5,850 Nm
ROLLS ROYCE,WRAITH,V12,"6,592 cc",624 hp,250 km/h,4.4 sec,"$330,000 ",Petrol,4,870 Nm
ROLLS ROYCE,DAWN,V12,"6,592 cc",624 hp,250 km/h,4.9 sec,"$360,000 ",Petrol,4,870 Nm
ROLLS ROYCE,CULLINAN,V12,"6,749 cc",563 hp,250 km/h,5.2 sec,"$325,000 ",Petrol,5,850 Nm
ROLLS ROYCE,PHANTOM EXTENDED,V12,"6,749 cc",563 hp,250 km/h,5.3 sec,"$500,000 ",Petrol,5,900 Nm
ROLLS ROYCE,GHOST EXTENDED,V12,"6,592 cc",591 hp,250 km/h,4.8 sec,"$370,000 ",Petrol,5,850 Nm
ROLLS ROYCE,WRAITH BLACK BADGE,V12,"6,592 cc",624 hp,250 km/h,4.3 sec,"$360,000 ",Petrol,4,870 Nm
ROLLS ROYCE,DAWN BLACK BADGE,V12,"6,592 cc",624 hp,250 km/h,4.8 sec,"$390,000 ",Petrol,4,870 Nm
ROLLS ROYCE,CULLINAN BLACK BADGE,V12,"6,749 cc",563 hp,250 km/h,5.1 sec,"$350,000 ",Petrol,5,850 Nm
ROLLS ROYCE,PHANTOM COUPE,V12,"6,749 cc",563 hp,250 km/h,5.3 sec,"$450,000 ",Petrol,4,870 Nm
ROLLS ROYCE,GHOST COUPE,V12,"6,592 cc",591 hp,250 km/h,4.8 sec,"$340,000 ",Petrol,4,850 Nm
ROLLS ROYCE,WRAITH COUPE,V12,"6,592 cc",624 hp,250 km/h,4.4 sec,"$330,000 ",Petrol,4,870 Nm
ROLLS ROYCE,DAWN CONVERTIBLE,V12,"6,592 cc",624 hp,250 km/h,4.9 sec,"$380,000 ",Petrol,4,870 Nm
ROLLS ROYCE,CULLINAN SUV,V12,"6,749 cc",563 hp,250 km/h,5.2 sec,"$320,000 ",Petrol,5,850 Nm
MERCEDES,BENZ S-CLASS S 580,V8,"3,982 cc",496 hp,250 km/h,4.4 sec,"$116,000 ",Petrol,5,700 Nm
MERCEDES,BENZ E-CLASS E 63 S,V8,"3,982 cc",603 hp,250 km/h,3.4 sec,"$104,000 ",Petrol,5,850 Nm
MERCEDES,BENZ CLA 45 AMG,I4,1991 cc,382 hp,250 km/h,4.1 sec,"$53,000 ",Petrol,5,500 Nm
MERCEDES,BENZ GLE 63 S,V8,"3,982 cc",603 hp,250 km/h,4.2 sec,"$113,000 ",Petrol,5,850 Nm
MERCEDES,BENZ S-CLASS S 500,V6,"2,996 cc",429 hp,250 km/h,4.9 sec,"$109,000 ",Petrol,5,700 Nm
MERCEDES,BENZ E-CLASS E 450 ,V6,"2,996 cc",362 hp,250 km/h,5.2 sec,"$62,000 ",Petrol,5,500 Nm
MERCEDES,BENZ CLS 450,V6,"2,996 cc",362 hp,250 km/h,5.2 sec,"$70,000 ",Petrol,5,500 Nm
MERCEDES,BENZ GT 53,V6,"2,996 cc",429 hp,250 km/h,4.5 sec,"$99,000 ",Petrol,5,700 Nm
MERCEDES,BENZ GLE 450,V6,"2,996 cc",362 hp,250 km/h,5.5 sec,"$63,000 ",Petrol,5,500 Nm
MERCEDES,BENZ A-CLASS A 45 S,I4,"1,991 cc",416 hp,250 km/h,3.9 sec,"$53,000 ",Petrol,5,500 Nm
MERCEDES,BENZ C-CLASS C 43,V6,"2,996 cc",402 hp,250 km/h,4.7 sec,"$52,000 ",Petrol,5,520 Nm
MERCEDES,BENZ E-CLASS E 350,I4,"1,991 cc",255 hp,250 km/h,5.7 sec,"$49,000 ",Petrol,5,500 Nm
MERCEDES,BENZ GLE 350 ,I4,"1,991 cc",255 hp,250 km/h, 6.1 sec,"$53,000 ",Petrol,5,500 Nm
MERCEDES,BENZ GLC 43,V6,"2,996 cc",402 hp,250 km/h,4.7 sec,"$54,000 ",Petrol,5,520 Nm
MERCEDES,BENZ GLA 45,I4,"1,991 cc",382 hp,250 km/h,4.3 sec,"$48,000 ",Petrol,5,500 Nm
MERCEDES,BENZ GLC 350 ,I4,"1,991 cc",255 hp,250 km/h,6.1 sec,"$46,000 ",Petrol,5,500 Nm
MERCEDES,BENZ GLE 53,V6,"2,996 cc",429 hp,250 km/h,5.2 sec,"$71,000 ",Petrol,5,620 Nm
MERCEDES,BENZ S-CLASS S 350,I4,"1,991 cc",255 hp,250 km/h,6.5 sec,"$90,000 ",Petrol,5,500 Nm
MERCEDES,BENZ EQS 53,ELECTRIC MOTOR,N/A,751 hp,250 km/h,3.4 sec,"$102,000 ",Electric,5,950 Nm
MERCEDES,BENZ MAYBACH S 680,V12,"5,980 cc",630 hp,250 km/h,4.7 sec,"$200,000 ",Petrol,5,1000 Nm
BMW,M5 CS,V8,"4,395 cc",627 hp,305 km/h,3.0 sec,"$142,000 ",Petrol,5,750 Nm
BMW,M4 GTS,I6,"2,993 cc",493 hp,305 km/h,3.7 sec,"$133,000 ",Petrol,4,600 Nm
BMW,M3 COMPETITION,I6,"2,993 cc",503 hp,285 km/h,3.5 sec,"$76,000 ",Petrol,5,650 Nm
BMW,M2 CS,I6,"2,993 cc",444 hp,280 km/h,4.0 sec,"$83,000 ",Petrol,4,550 Nm
BMW,X5 M COMPETITION,V8,"4,935 cc",523 hp,285 km/h,4.1 sec,"$114,000 ",Petrol,5,750 Nm
BMW,X3 M COMPETITION,I6,"2,993 cc",503 hp,285 km/h,4.1 sec,"$69,000 ",Petrol,5,650 Nm
BMW,M8 GRAN COUPE,V8,"4,395 cc",523 hp,305 km/h,3.3 sec,"$146,000 ",Petrol,5,750 Nm
BMW,M850i DRIVE COUPE,V8,"4,935 cc",523 hp,285 km/h,3.7 sec,"$108,000 ",Petrol,4,750 Nm
ROLLS ROYCE,DAWN BLACK BADGE VOLANTE,V12,"6,592 cc",563 hp,250 km/h,4.8 sec,"$398,000 ",Petrol,4,840 Nm
ROLLS ROYCE,CULLINAN BLACK BADGE SUV,V12,"6,749 cc",563 hp,250 km/h,5.1 sec,"$381,000 ",Petrol,5,850 Nm
ROLLS ROYCE,PHATOM TRANQUILITY,V12,"6,749 cc",563 hp,250 km/h,5.3 sec,"$475,000 ",Petrol,5,900 Nm
ROLLS ROYCE,GHOST ZENITH,V12,"6,749 cc",563 hp,250 km/h,4.9 sec,"$335,000 ",Petrol,5,900 Nm
ROLLS ROYCE,WRAITH EAGLE VIII,V12,"6,592 cc",623 hp,250 km/h,4.5 sec,"$349,000 ",Petrol,4,800 Nm
ROLLS ROYCE,PHATOM ORCHID,V12,"6,749 cc",563 hp,250 km/h,5.3 sec,"$495,000 ",Petrol,5,900 Nm
ROLLS ROYCE,GHOST AZURE,V12,"6,749 cc",563 hp,250 km/h,4.9 sec,"$355,000 ",Petrol,5,900 Nm
ROLLS ROYCE,WRAITH KRYPTOS,V12,"6,592 cc",623 hp,250 km/h,4.5 sec,"$369,000 ",Petrol,4,800 Nm
ROLLS ROYCE,DAWN SILVER BULLET,V12,"6,592 cc",563 hp,250 km/h,4.8 sec,"$418,000 ",Petrol,4,840 Nm
ROLLS ROYCE,CULLINAN FUX ORANGE,V12,"6,749 cc",563 hp,250 km/h,5.1 sec,"$401,000 ",Petrol,5,850 Nm
ROLLS ROYCE,PHANTOM CELESTIAL,V12,"6,749 cc",563 hp,250 km/h,5.3 sec,"$515,000 ",Petrol,5,900 Nm
ROLLS ROYCE,GHOST MYSORE,V12,"6,749 cc",563 hp,250 km/h,4.9 sec,"$375,000 ",Petrol,5,900 Nm
ROLLS ROYCE,WRAITH LUMINARY,V12,"6,592 cc",623 hp,250 km/h,4.5 sec,"$389,000 ",Petrol,4,800 Nm
ROLLS ROYCE,DAWN BLACK BADGE ADAMAS,V12,"6,592 cc",563 hp,250 km/h,4.8 sec,"$439,000 ",Petrol,4,840 Nm
ROLLS ROYCE,CULLINAN RED DIAMOND,V12,"6,749 cc",563 hp,250 km/h,5.1 sec,"$421,000 ",Petrol,5,850 Nm
AUDI,R8 V10 PLUS,V10,"5,204 cc",610 hp,330 km/h,3.2 sec,"$194,000 ",Petrol,2,560 Nm
AUDI,RS7 SPORTBACK,V8,"3,993 cc",591 hp,305 km/h,3.6 sec,"$114,000 ",Petrol,5,800 Nm
AUDI,S8,V8,"3,993 cc",563 hp,305 km/h,4.3 sec,"$101,000 ",Petrol,5,800 Nm
AUDI,RS6 AVANT,V8,"3,993 cc",591 hp,305 km/h,3.6 sec,"$109,000 ",Petrol,5,800 Nm
AUDI,S7 SPORTBACK,V8,"3,993 cc",563 hp,305 km/h,4.3 sec,"$96,000 ",Petrol,5,650 Nm
AUDI,A8,V6,"2,995 cc",335 hp,250 km/h,5.7 sec,"$86,000 ",Petrol,5,600 Nm
AUDI,S5 COUPE,V6,"2,995 cc",349 hp,250 km/h,4.8 sec,"$64,000 ",Petrol,4,500 Nm
AUDI,SQ5,V6,"2,995 cc",349 hp,250 km/h,5.4 sec,"$62,000 ",Petrol,5,500 Nm
AUDI,S4 SEDAN,V6,"2,995 cc",349 hp,250 km/h,4.7 sec,"$59,000 ",Petrol,5,500 Nm
AUDI,S3 SEDAN,I4,"1,984 cc",306 hp,250 km/h,4.8 sec,"$52,000 ",Petrol,5,400 Nm
AUDI,Q7,V6,"2,995 cc",335 hp,250 km/h,6.3 sec,"$60,000 ",Petrol,7,600 Nm
AUDI,Q5,I4,"1,984 cc",248 hp,240 km/h,6.3 sec,"$43,000 ",Petrol,5,500 Nm
AUDI,A7,V6,"2,995 cc",335 hp,250 km/h,5.7 sec,"$68,000 ",Petrol,5,600 Nm
AUDI,A6,V6,"2,995 cc",335 hp,250 km/h,5.7 sec,"$58,000 ",Petrol,5,600 Nm
AUDI,A5 COUPE,I4,"1,984 cc",248 hp,240 km/h,6.3 sec,"$45,000 ",Petrol,4,500 Nm
AUDI,A4,I4,"1,984 cc",248 hp,240 km/h,6.5 sec,"$39,000 ",Petrol,5,400 Nm
AUDI,Q3,I4,"1,984 cc",248 hp,230 km/h,7.3 sec,"$35,000 ",Petrol,5,400 Nm
AUDI,E-TRON,ELECTRIC ,95 kwh,402 hp,200 km/h,5.5 sec,"$75,000 ",Electric,5,664 Nm
AUDI,E-TRON SPORTBACK,ELECTRIC,95 kwh,402 hp,200 km/h,5.5 sec,"$78,000 ",Electric,5,664 Nm
AUDI,TT COUPE,I4,"1,984 cc",248 hp,250 km/h,5.3 sec,"$49,000 ",Petrol,2,400 Nm
BMW,I8 ROADSTER,ELECTRIC MOTOR,11.6 kwh,369 hp,250 km/h,4.4 sec,"$165,000 ",Hybrid,2,570 Nm
BMW,330i,I4,"1,998 cc",255 hp,250 km/h,5.6 sec,"$45,000 ",Petrol,5,400 Nm
BMW,M340i XDRIVE,I6,"2,998 cc",382 hp,250 km/h,4.1 sec,"$57,000 ",Petrol,5,500 Nm
BMW,430i COUPE,I4,"1,998 cc",255 hp,250 km/h,5.8 sec,"$48,000 ",Petrol,4,400 Nm
BMW,M4 COMPETITION,I6,"2,993 cc",503 hp,290 km/h,3.8 sec,"$81,000 ",Petrol,4,650 Nm
BMW,530i,I4,"1,998 cc",248 hp,250 km/h,5.9 sec,"$57,000 ",Petrol,5,400 Nm
BMW,M550i XDRIVE,V8,"4,395 cc",523 hp,250 km/h,3.6 sec,"$78,000 ",Petrol,5,650 Nm
BMW,118i,I3,"1,499 cc",136 hp,213 km/h,8.5 sec,"$32,000 ",Petrol,5,220 Nm
BMW,128ti,I4,"1,998 cc",261 hp,250 km/h,6.1 sec,"$42,000 ",Petrol,5,400 Nm
BMW,M135i XDRIVE,I4,"1,998 cc",302 hp,250 km/h,4.8 sec,"$30,000 ",Petrol,5,450 Nm
BMW,116D,I3,"1,496 cc",116 hp,200 km/h,10.3 sec,"$30,000 ",Diesel,5,280 Nm
BMW,120D XDRIVE,I4,"1,995 cc",190 hp,230 km/h,6.9 sec,"$38,000 ",Diesel,5,400 Nm
BMW,116i,I3,"1,499 cc",109 hp,200 km/h,10.9 sec,"$28,000 ",Petrol,5,200 Nm
BMW,118D,I4,"1,995 cc",150 hp,216 km/h,8.4 sec,"$34,000 ",Diesel,5,380 Nm
BMW,120i,I4,"1,998 cc",178 hp,230 km/h,7.1  sec,"$37,000 ",Petrol,5,300 Nm
BMW,125i,I4,"1,998 cc",224 hp,240 km/h,6.1 sec,"$42,000 ",Petrol,5,400 Nm
BMW,114D,I3,"1,496 cc",95 hp,185 km/h,12.2 sec,"$27,000 ",Diesel,5,270 Nm
BMW,114i,I4,"1,598 cc",102 hp,195 km/h,11.2 sec,"$26,000 ",Petrol,5,200 Nm
BMW,125D,I4,"1,995 cc",224 hp,240 km/h,6.3 sec,"$44,000 ",Diesel,5,400 Nm
BMW,118i XDRIVE,I3,"1,499 cc",136 hp,211 km/h,8.9 sec,"$34,000 ",Petrol,5,250 Nm
BMW,116D EFFICIENTDYNAMICS,I3,"1,496 cc",116 hp,200 km/h,10.9 sec,"$30,000 ",Diesel,5,270 Nm
BMW,118i SPORTLINE,I3,"1,499 cc",136 hp,213 km/h,8.5 sec,"$35,000 ",Petrol,5,250 Nm
BMW,118i M SPORT,I3,"1,499 cc",136 hp,213 km/h,8.5 sec,"$37,000 ",Petrol,5,250 Nm
BMW,120i M SPORT,I4,"1,998 cc",178 hp,230 km/h,7.1 sec,"$39,000 ",Petrol,5,300 Nm
BMW,116i EFFICIENTDYNAMICS,I4,"1,598 cc",109 hp,195 km/h,10.9 sec,"$29,000 ",Petrol,5,200 Nm
BMW,116D ADVANTAGE,I3,"1,496 cc",116 hp,200 km/h,10.5 sec,"$31,000 ",Diesel,5,270 Nm
BMW,120D EFFICIENTDYNAMICS,I4,"1,995 cc",163 hp,225 km/h,7.7 sec,"$39,000 ",Diesel,5,400 Nm
BMW,118i SHADOW LINE,I3,"1,499 cc",136 hp,213 km/h,8.5 sec,"$36,000 ",Petrol,5,250 Nm
BMW,118D SPORT LINE,I4,"1,995 cc",150 hp,216 km/h,8.4 sec,"$36,000 ",Diesel,5,380 Nm
BMW,120i XDRIVE,I4,"1,998 cc",178 hp,230 km/h,7.2 sec,"$40,000 ",Petrol,5,300 Nm
BMW,114D SPORT LINE,I3,"1,496 cc",95 hp,185 km/h,12.2 sec,"$28,000 ",Diesel,5,270 Nm
BMW,118i URBAN LINE,I3,"1,499 cc",136 hp,213 km/h,8.5 sec,"$35,000 ",Petrol,5,250 Nm
VOLVO,XC90,I6,"1,969 cc",247 hp,200 km/h,6.5 sec,"$60,000 ",Petrol/Diesel,7,400 Nm
VOLVO,XC60,I6,"1,969 cc",247 hp,220 km/h,6.4 sec,"$55,000 ",Petrol/Diesel,5,400 Nm
VOLVO,S90,I6,"1,969 cc",295 hp,250 km/h,5.9 sec,"$60,000 ",Petrol/Diesel,5,400 Nm
KIA,SPORTAGE LX,I4,"2,480 cc",187 hp,200 km/h,8.0 sec,"$27,000 ",Petrol,5,250 Nm
KIA,SPORTAGE EX,I4,"2,480 cc",187 hp,200 km/h,8.0 sec,"$30,000 ",Petrol,5,250 Nm
KIA,SPORTAGE GT-LINE,I4,"2,480 cc",187 hp,200 km/h,8.0 sec,"$32,000 ",Petrol,5,350 Nm
KIA,SPORTAGE SX TURBO,I4,"1,998 cc",240 hp,210 km/h,6.7 sec,"$36,000 ",Petrol,5,400 Nm
KIA,SPORTAGE NIGHTFALL EDITION,I4,"2,480 cc",187 hp,200 km/h,8.0 sec,"$33,000 ",Petrol,5,350 Nm
HONDA,CIVIC TYPE R,I4,"1,996 cc",315 hp,272 km/h,5.7 sec,"$44,000 ",Petrol,5,400 Nm
KIA,SPORTAGE PHEV,I4 + ELECTRIC,"1,600 cc / 13.8 kwh",261 hp,180 km/h,8.0 sec,"$41,000 ",Plug-in Hybrid,5,350 Nm
KIA,SPORTAGE 2024(BASE MODEL),I4,"2,480 cc",187 hp,200 km/h,8.0 sec,"$26,000 ",Petrol,5,250 Nm
KIA,SPORTAGE 2024(TOP TRIM),I4,"1,998 cc",240 hp,210 km/h,6.7 sec,"$38,000 ",Petrol,5,400 Nm
KIA,SPORTAGE 2024(BASE AWD),I4,"2,480 cc",187 hp,200 km/h,8.3 sec,"$29,000 ",Petrol/AWD,5,250 Nm
KIA,SPORTAGE X-LINE,I4,"2,480 cc",187 hp,200 km/h,8.0 sec,"$32,500 ",Petrol,5,350 Nm
KIA,SPORTAGE 2024(S TRIM),I4,"2,480 cc",187 hp,200 km/h,8.2 sec,"$28,000 ",Petrol,5,250 Nm
HONDA,ACCORD,I4,"1,498 cc",192 hp,201 km/h,7.1 sec,"$29,400 ",Petrol,5,370 Nm
KIA,SPORTAGE 2024(HYBRID AWD),I4 + ELECTRIC,"1,600 cc / 1.49 kwh",227 hp,180 km/h,8.0 sec,"$37,000 ",Hybrid,5,350 Nm
KIA,SPORTAGE 2024(PLUG-IN HYBRID AWD),I4 + ELECTRIC,"1,598 cc / 13.8 kwh",261 hp,180 km/h,7.9 sec,"$42,000 ",Plug-in Hybrid,5,350 Nm
KIA,SPORTAGE 2024(X-PRO),I4,"2,480 cc",187 hp,200 km/h,8.1 sec,"$36,000 ",Petrol,5,400 Nm
KIA,SPORTAGE 2024(X-PRO PRESTIGE),I4,"2,480 cc",187 hp,200 km/h,8.1 sec,"$38,000 ",Petrol,5,400 Nm
KIA,SPORTAGE 2024(SX TURBO AWD),I4,"1,998 cc",240 hp,210 km/h,6.5 sec,"$40,000 ",Petrol/AWD,5,400 Nm
KIA  ,SPORTAGE 2024(BASE FWD),I4,"2,480 cc",187 hp,200 km/h,8.5 sec,"$26,500 ",Petrol,5,250 Nm
HONDA,CR-V,I4,"1,498 cc",190 hp,186 km/h,8.2 sec,"$30,000 ",Petrol/Hybrid,5,400 Nm
HONDA,PILOT,V6,"3,471 cc",285 hp,209 km/h,6.3 sec,"$40,000 ",Petrol,8,360 Nm
HONDA,CIVIC HATCHBACK,I4,"1,498 cc",180 hp,220 km/h,6.8 sec,"$26,350 ",Petrol,5,300 Nm
TOYOTA,CAMRY,V6,"3,500 cc",301 hp,220 km/h,6.0 sec,"$27,000 ",Petrol/Hybrid,5,250 Nm
TOYOTA,COROLLA,I4,"1,798 cc",139 hp,180 km/h,9.4 sec,"$22,500 ",Petrol/Hybrid,5,200 Nm
TOYOTA,PRIUS,I4,"1,798 cc",121 hp,180 km/h,10.5 sec,"$26,700 ",Hybrid,5,142 Nm
TOYOTA,RAV4,I4,"2,494 cc",203 hp,200 km/h,8.1 sec,"$27,100 ",Petrol/Hybrid,5,400 Nm
